Use Case 1 ; Monitoring
Use Case 2 ; Management and Control Panels
Use Case 3 ; Disaster and High Availibility
Use Case 4 ; Backup & Recovery
Use Case 5 ; Security, audit,
Use Case 6 ; Patching - Upgrade
Use Case 7 ; Installation Simplicity
Use Case 8 ; Support & Marketing Penetration
Use Case 9 ; Integration with Other Technologies
Use Case 10 ; Joining Different Data Sources
Use Case 11 ; Scalability and Resource Management
Use Case 12 ; Data Governance, Quality and Lineage
Use Case 13 ; Introduction of Platform Components
